R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
160,Zach Edey,C,MEM,68,26.2,0.575(4.2/7.3),0.729(1.8/2.5),0,10.2,7.2,1.3,0.3,1.3,1,-1.02
161,Scoot Henderson,PG,POR,67,30.1,0.409(5.6/13.8),0.821(2.9/3.5),1.5,15.7,3.3,5.8,1,0.3,3.3,-1.02
162,Kyle Lowry,PG,PHI,58,27.7,0.417(3.0/7.1),0.855(1.5/1.7),1.7,9.1,3.4,4.4,1,0.3,1.5,-1.05
163,Dyson Daniels,"PG,SG",ATL,68,27.4,0.453(2.8/6.1),0.651(0.7/1.1),0.8,7.1,5,3.5,1.5,0.4,1.4,-1.05
164,Andrew Nembhard,"PG,SG",IND,72,30.2,0.477(4.4/9.2),0.800(0.8/1.0),1.2,10.7,2.7,5,1.1,0.2,1.8,-1.09
165,Jaden McDaniels,"SF,PF",MIN,74,29.8,0.504(4.5/9.0),0.732(1.1/1.5),1.3,11.4,3.5,1.7,0.9,0.8,1.3,-1.1
166,Patrick Williams,PF,CHI,68,28.3,0.457(3.9/8.5),0.829(1.2/1.4),1.4,10.3,4,1.4,0.9,0.8,1.3,-1.11
167,Karlo Matkovic,PF,NO,50,19.2,0.488(3.6/7.4),0.751(1.4/1.9),1.1,9.7,4.6,1.5,0.7,1.2,1.4,-1.13
168,Luguentz Dort,"SG,SF",OKC,76,28,0.434(3.9/9.0),0.827(1.6/1.9),1.8,11.2,3.9,1.7,0.9,0.6,1,-1.14
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
169,Max Strus,"SG,SF",CLE,72,29.4,0.414(4.2/10.0),0.829(1.0/1.2),2.4,11.7,3.9,3.4,0.8,0.3,1.2,-1.17
170,T.J. McConnell,PG,IND,70,18.6,0.550(4.1/7.4),0.816(0.7/0.9),0.3,9.2,2.8,5.3,1,0.1,1.7,-1.17
171,Miles McBride,"PG,SG",NY,68,24.5,0.446(3.9/8.7),0.845(1.0/1.2),2.1,10.8,2.1,2.6,1.2,0.2,0.8,-1.19
172,Deni Avdija,"SF,PF",POR,73,27.4,0.477(4.4/9.1),0.738(2.1/2.9),1,11.9,6.5,3.3,0.8,0.4,1.9,-1.19
173,Shaedon Sharpe,"SG,SF",POR,60,31.6,0.434(5.6/12.9),0.812(2.8/3.5),1.9,15.9,4.6,2.2,0.8,0.4,1.8,-1.2
174,Ben Simmons,PG,BKN,28,24.9,0.569(3.0/5.3),0.427(0.5/1.2),0,6.6,6.6,5.9,1.1,0.6,2.1,-1.22
175,Jonathan Isaac,"SF,PF",ORL,55,17.2,0.496(2.8/5.7),0.704(1.1/1.5),0.8,7.5,5.1,0.6,1,1.2,0.5,-1.27
176,Kevin Huerter,"SG,SF",SAC,68,24.8,0.468(4.5/9.5),0.750(0.9/1.2),2.2,12,3.2,2.6,0.8,0.3,1,-1.36
177,Jaime Jaquez Jr.,SF,MIA,73,28,0.489(4.6/9.3),0.812(1.9/2.3),0.9,11.9,3.8,2.6,1,0.3,1.5,-1.36
178,Vince Williams Jr.,"PG,SG,SF",MEM,58,24,0.454(3.0/6.6),0.803(1.7/2.1),1.3,9,4.8,2.8,0.8,0.6,1.5,-1.38
179,Gary Trent Jr.,"PG,SG",MIL,70,30,0.429(5.3/12.3),0.792(1.6/2.1),2.4,14.5,2.5,1.6,1.2,0.2,0.7,-1.4
180,Keldon Johnson,"SG,SF,PF",SA,67,27.5,0.453(6.1/13.4),0.798(2.8/3.6),1.8,16.7,4.7,2.6,0.7,0.2,1.6,-1.43
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
181,Christian Braun,"SG,SF",DEN,79,30.2,0.468(4.1/8.8),0.731(1.6/2.2),1.1,11,5.5,2.2,0.9,0.6,1,-1.44
182,Zaccharie Risacher,SF,ATL,68,30.4,0.452(5.1/11.2),0.740(2.1/2.8),1.4,13.6,4.1,1.5,1.1,0.7,1.6,-1.45
183,Jordan Clarkson,"SG,SF",UTA,64,28.6,0.431(6.3/14.5),0.846(3.0/3.5),1.9,17.4,3.4,4.3,0.5,0.2,2.6,-1.46
184,Luke Kennard,SG,MEM,60,25.4,0.472(3.7/7.7),0.914(0.9/0.9),2.7,10.8,3,2.5,0.6,0.1,1.1,-1.47
185,Andre Drummond,C,PHI,74,20.1,0.574(4.0/6.9),0.604(1.8/3.0),0,9.8,10.6,0.6,1.1,0.7,1.4,-1.49
186,Cole Anthony,PG,ORL,72,21.9,0.444(4.0/9.0),0.855(2.2/2.6),1.3,11.5,3.9,3.1,0.7,0.5,1.4,-1.51
187,Reed Sheppard,SG,HOU,67,20.2,0.472(2.2/4.8),0.835(0.9/1.0),1.3,6.7,2.5,2.4,1.3,0.4,1.1,-1.54
188,Andrew Wiggins,"SF,PF",GS,70,28.5,0.461(5.6/12.1),0.711(1.7/2.4),1.7,14.6,4.7,1.9,0.8,0.6,1.3,-1.55
189,Jarred Vanderbilt,PF,LAL,65,24.1,0.542(3.0/5.6),0.688(1.2/1.7),0.4,7.6,7.1,2.2,1.2,0.3,1.2,-1.57
190,Caleb Martin,"SG,SF",PHI,68,30,0.447(3.9/8.8),0.796(1.3/1.7),1.3,10.5,4.9,2.1,0.9,0.5,1.2,-1.63
191,Lonzo Ball,PG,CHI,44,19.8,0.423(2.7/6.4),0.761(0.4/0.5),1.8,7.6,3.2,3,1.1,0.5,1.4,-1.64
192,Russell Westbrook,PG,DEN,72,29.2,0.444(5.7/12.8),0.668(2.5/3.7),1,14.8,5.9,5.4,1.2,0.4,3.1,-1.65
193,Malcolm Brogdon,"PG,SG",WAS,43,26.7,0.466(4.3/9.2),0.849(1.9/2.3),1.6,12.1,3.2,3.5,0.5,0.2,1.2,-1.74
194,Caris LeVert,"SG,SF",CLE,69,27.5,0.426(4.4/10.3),0.746(1.9/2.5),1.6,12.2,3.7,4.2,1,0.4,1.5,-1.74
195,Duncan Robinson,"SG,SF",MIA,67,26.4,0.447(4.4/9.8),0.889(1.1/1.3),2.6,12.5,2.5,2.5,0.6,0.2,1.3,-1.75
196,Nikola Jovic,"PF,C",MIA,52,25.4,0.443(3.7/8.4),0.766(1.2/1.6),1.8,10.4,5.3,2.4,0.8,0.4,1.2,-1.78
197,Josh Richardson,"PG,SG",MIA,60,25.2,0.436(3.8/8.7),0.885(1.2/1.3),1.7,10.4,2.9,2.7,0.9,0.3,1.2,-1.8
198,Kris Dunn,"PG,SG",LAC,64,20.4,0.498(2.9/5.9),0.734(0.7/0.9),0.6,7.2,3.2,4.2,1,0.4,1.3,-1.84
199,Ayo Dosunmu,"SG,SF",CHI,78,27.2,0.498(4.1/8.2),0.814(1.0/1.2),1.1,10.2,2.8,2.8,0.8,0.4,1.3,-1.88
200,Bennedict Mathurin,"SG,SF",IND,68,29,0.443(5.5/12.5),0.826(4.4/5.3),1.4,16.8,4.3,1.8,0.7,0.2,1.9,-1.89
