R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
37,Ja Morant,PG,MEM,63,33.6,0.470(9.2/19.6),0.788(5.8/7.4),1.5,25.8,5.9,8.2,0.9,0.5,3,4.35
38,DeMar DeRozan,"SF,PF",SAC,76,34.9,0.486(7.5/15.4),0.863(6.0/7.0),1.1,22.1,3.8,3.9,1.1,0.6,1.7,4.32
39,Evan Mobley,"PF,C",CLE,68,32,0.573(6.5/11.4),0.726(2.6/3.6),0.4,16.1,9.2,3.4,0.9,1.5,1.8,4.31
40,Desmond Bane,"SG,SF",MEM,68,32.8,0.472(7.7/16.4),0.877(3.1/3.5),2.9,21.4,4.5,4.4,1,0.4,2.3,4.22
41,Dejounte Murray,"PG,SG",NO,74,32,0.462(7.6/16.4),0.809(2.2/2.7),2.2,19.5,5.2,6.5,1.4,0.3,2.1,4.1
42,Alperen Sengün,C,HOU,72,32.6,0.544(7.6/13.9),0.713(3.9/5.4),0.4,19.4,9.9,5.4,1.2,0.8,2.8,4.04
43,Bam Adebayo,C,MIA,73,34.4,0.531(7.8/14.8),0.743(4.1/5.5),0.2,20,10.4,3.9,1.2,0.9,2.4,4.04
44,Kristaps Porzingis,"PF,C",BOS,40,27.1,0.484(6.1/12.6),0.848(3.8/4.5),1.8,17.8,6.7,2,0.7,1.5,1.6,4.01
45,Cade Cunningham,"PG,SG",DET,64,33.7,0.450(8.8/19.5),0.865(3.8/4.4),1.9,23.2,4.7,7.8,0.9,0.4,3.5,3.86
46,Myles Turner,C,IND,72,28.8,0.535(6.1/11.5),0.778(3.2/4.1),1.5,17,7,1.3,0.5,2,1.5,3.83
47,Immanuel Quickley,"PG,SG",TOR,72,33.3,0.440(6.4/14.7),0.849(3.2/3.8),2.6,18.7,4.6,6.8,1.1,0.2,1.6,3.78
48,Jamal Murray,"PG,SG",DEN,60,31.1,0.471(7.4/15.8),0.841(2.6/3.1),2.5,20,3.9,6.1,1,0.5,2.1,3.76
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
49,Franz Wagner,"SF,PF",ORL,76,33.1,0.483(7.2/15.0),0.845(3.7/4.3),1.4,19.6,5.4,3.9,1.2,0.4,2,3.17
50,Tobias Harris,"SF,PF",DET,69,31.9,0.482(6.8/14.1),0.878(2.5/2.9),1.6,17.6,6.3,3,1,0.6,1.3,2.99
51,Nikola Vucevic,"PF,C",CHI,75,33.2,0.482(7.1/14.8),0.817(1.5/1.8),1.4,17.1,10.4,3.3,0.7,0.7,1.6,2.96
52,Jarrett Allen,C,CLE,70,30.8,0.637(6.2/9.7),0.735(2.6/3.6),0,14.9,9.9,2.2,0.7,1.1,1.4,2.95
53,Rudy Gobert,C,MIN,73,33.6,0.660(5.5/8.3),0.642(3.4/5.2),0,14.3,12.9,1.4,0.8,1.8,1.7,2.94
54,Darius Garland,PG,CLE,68,33,0.455(6.9/15.1),0.850(3.2/3.8),2.3,19.3,2.6,7,1.2,0.1,2.9,2.84
55,Jaylen Brown,"SG,SF",BOS,70,33.8,0.495(9.4/19.0),0.737(3.4/4.6),2.2,24.4,6.1,3.5,1.1,0.5,2.6,2.84
56,Deandre Ayton,C,POR,65,31,0.571(7.6/13.3),0.778(1.8/2.3),0.1,17,10.3,1.7,0.8,0.8,1.8,2.83
57,Bradley Beal,"PG,SG",PHO,50,32,0.509(7.2/14.2),0.821(2.6/3.1),1.9,18.9,3.8,4.2,1,0.5,2.4,2.78
58,D'Angelo Russell,PG,LAL,72,32.6,0.457(6.2/13.5),0.829(2.3/2.8),2.9,17.5,3.1,6,1,0.5,2.4,2.6
59,Jalen Duren,C,DET,68,30,0.628(5.3/8.5),0.781(2.1/2.7),0,12.8,10.9,2,0.6,0.9,1.9,2.51
60,Jrue Holiday,"PG,SG",BOS,68,32.5,0.477(5.1/10.6),0.847(1.2/1.4),2.2,13.5,5.3,5.1,1,0.6,2.4,2.5
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
61,Zion Williamson,"PF,C",NO,67,32.1,0.573(8.8/15.4),0.714(5.0/7.1),0.1,22.8,6.2,5,1.1,0.7,3,2.47
62,Pascal Siakam,"SF,PF",IND,74,32,0.539(8.1/15.0),0.742(3.8/5.1),1.1,21.1,7.5,3.9,0.8,0.4,1.5,2.45
